Designator,Mid X,Mid Y,Rotation,Layer
C1,123.24,-191.91,-90.0,bottom
C10,114.775,-185.8,-90.0,bottom
C11,106.475,-181.45,-135.0,bottom
C12,124.251992,-180.301992,-45.0,bottom
C13,115.5,-168.8,90.0,bottom
C14,120.45,-173.375,90.0,bottom
C15,104.6,-156.725,180.0,bottom
C16,108.05,-174.05,180.0,bottom
C2,114.9,-191.9,90.0,bottom
C3,120.65,-165.65,180.0,bottom
C4,112.05,-170.275,-90.0,bottom
C5,117.4,-168.8,90.0,bottom
C6,112.55,-185.8,-90.0,bottom
C7,103.65,-162.5,0.0,bottom
C8,110.075,-170.275,90.0,bottom
C9,108.05,-172.525,180.0,bottom
D00,60.775,-91.375,90.0,bottom
D01,80.275,-88.85,90.0,bottom
D02,99.975,-87.425,90.0,bottom
D03,119.7,-87.275,90.0,bottom
D04,139.35,-88.275,90.0,bottom
D05,158.9,-90.55,90.0,bottom
D06,178.35,-93.95,90.0,bottom
D10,70.95,-110.1,90.0,bottom
D11,90.375,-108.05,90.0,bottom
D12,109.9,-107.28,90.0,bottom
D13,129.46,-107.71,90.0,bottom
D14,148.86,-109.41,90.0,bottom
D15,168.18,-112.38,90.0,bottom
D20,53.01,-133.99,90.0,bottom
D21,72.04,-133.99,90.0,bottom
D22,100.62,-129.21,90.0,bottom
D23,119.69,-129.21,90.0,bottom
D24,138.73,-129.21,90.0,bottom
D25,167.32,-134.02,90.0,bottom
D26,186.35,-134.02,90.0,bottom
D31,72.04,-153.05,90.0,bottom
D32,100.62,-148.31,90.0,bottom
D33,119.69,-148.31,90.0,bottom
D34,138.73,-148.28,90.0,bottom
D35,167.3,-153.05,90.0,bottom
D36,186.37,-153.05,90.0,bottom
D41,72.04,-172.12,90.0,bottom
D44,157.79,-172.13,90.0,bottom
D45,176.84,-176.9,90.0,bottom
D46,195.88,-176.9,90.0,bottom
D51,72.06,-191.18,90.0,bottom
D55,162.54,-195.94,90.0,bottom
D56,186.36,-195.93,90.0,bottom
F1,108.575,-72.535,-90.0,bottom
J1,113.8,-61.55,0.0,bottom
K00,53.72,-88.07,-169.5,bottom
K01,73.59,-85.02,-173.0,bottom
K02,93.66,-83.18,-176.5,bottom
K03,113.77,-82.56,180.0,bottom
K04,133.89,-83.16,176.5,bottom
K05,153.94,-85.03,173.0,bottom
K06,173.86,-88.07,169.5,bottom
K10,64.02,-106.62,-170.75,bottom
K11,83.84,-104.07,-174.45,bottom
K12,103.79,-102.76,-178.15,bottom
K13,123.78,-102.76,178.15,bottom
K14,143.72,-104.05,174.45,bottom
K15,163.53,-106.63,170.75,bottom
K20,47.11,-129.28,180.0,bottom
K21,66.14,-129.29,180.0,bottom
K22,94.73,-124.53,180.0,bottom
K23,113.78,-124.53,180.0,bottom
K24,132.83,-124.53,180.0,bottom
K25,161.41,-129.29,180.0,bottom
K26,180.46,-129.29,180.0,bottom
K31,66.15,-148.34,180.0,bottom
K32,94.73,-143.58,180.0,bottom
K33,113.78,-143.58,180.0,bottom
K34,132.83,-143.58,180.0,bottom
K35,161.41,-148.34,180.0,bottom
K36,180.46,-148.34,180.0,bottom
K41,66.16,-167.4,180.0,bottom
K44,151.87,-167.39,180.0,bottom
K45,170.92,-172.1525,180.0,bottom
K46,189.97,-172.1525,180.0,bottom
K51,66.14,-186.45,180.0,bottom
K55,156.6325,-191.2025,180.0,bottom
K56,180.445,-191.2025,180.0,bottom
R1,119.55,-157.4,90.0,bottom
R2,111.475,-182.4,0.0,bottom
R3,110.9,-69.81,-90.0,bottom
R4,116.675,-69.81,-90.0,bottom
R5,114.55,-163.2,-90.0,bottom
R6,113.0,-163.2,90.0,bottom
R7,117.05,-185.775,90.0,bottom
SW1,133.25,-160.075,0.0,bottom
SW2,133.27,-170.06,180.0,bottom
U1,123.325,-160.175,-90.0,bottom
U2,113.8,-70.385,90.0,bottom
U3,114.975,-177.1,180.0,bottom
U4,105.375,-159.6,90.0,bottom
Y1,119.0,-191.975,180.0,bottom
